iteration,wall_time_s,n_trajectories,pareto_front_size,best_obj0,best_obj1,mean_episode_return_obj0,mean_episode_return_obj1,target_obj0,target_obj1,bc_loss_mean,bc_loss_last
92,27.484,184,8,0.9142927527427673,-1.4861934185028076,-0.8204154968261719,-1.893803358078003,1.1827402114868164,-2.9372386932373047,5.033454532623291,5.0390167236328125
93,27.793,188,8,0.9142927527427673,-1.4861934185028076,-0.8205412030220032,-1.8925968408584595,-0.5564857721328735,-1.472075343132019,5.033851928710938,5.098694324493408
94,28.094,188,8,0.9142927527427673,-1.4861934185028076,-0.8205412030220032,-1.8925968408584595,0.6852706074714661,-1.6821632385253906,5.040064296722412,4.990804672241211
95,28.452,192,8,0.9142927527427673,-1.4861934185028076,-0.8211691975593567,-1.8937526941299438,0.6605703830718994,-1.5935096740722656,5.038495807647705,4.98576021194458
96,28.752,192,8,0.9142927527427673,-1.4861934185028076,-0.8211691975593567,-1.8937526941299438,-0.23448459804058075,-1.590112566947937,5.047516899108887,5.023632526397705
97,29.074,196,8,0.9142927527427673,-1.4861934185028076,-0.8197538256645203,-1.8940329551696777,-0.4369117021560669,-1.4467085599899292,5.024450664520264,4.9413347244262695
98,29.395,196,8,0.9142927527427673,-1.4861934185028076,-0.8197538256645203,-1.8940329551696777,1.0636874437332153,-2.0107924938201904,5.024285907745361,4.903111934661865
99,29.716,200,8,0.9142927527427673,-1.4861934185028076,-0.8240421414375305,-1.8934874534606934,-0.2756844162940979,-1.4422169923782349,5.036265954971314,5.032242298126221
100,30.026,200,8,0.9142927527427673,-1.4861934185028076,-0.8240421414375305,-1.8934874534606934,0.5127800703048706,-1.5041778087615967,5.040595951080323,4.97575569152832
101,30.339,200,7,0.879351019859314,-1.4861934185028076,-0.8461896777153015,-1.8701486587524414,0.32595792412757874,-1.5306977033615112,5.01322380065918,4.9222307205200195
102,30.643,200,7,0.879351019859314,-1.4861934185028076,-0.8461896777153015,-1.8701486587524414,-0.4307926297187805,-1.6444519758224487,5.014000511169433,5.142961025238037
103,30.953,200,7,0.879351019859314,-1.4861934185028076,-0.8598189353942871,-1.8677260875701904,0.7271970510482788,-1.7443504333496094,5.021822338104248,4.936918258666992
104,31.254,200,7,0.879351019859314,-1.4861934185028076,-0.8598189353942871,-1.8677260875701904,0.7093449831008911,-1.7630881071090698,5.013890571594239,4.998574256896973
105,31.565,200,7,0.879351019859314,-1.4861934185028076,-0.8741573095321655,-1.8659075498580933,0.8466899394989014,-1.7626137733459473,5.000371589660644,5.067933082580566
106,31.866,200,7,0.879351019859314,-1.4861934185028076,-0.8741573095321655,-1.8659075498580933,0.8923214077949524,-2.1912879943847656,5.0195622062683105,5.0402607917785645
107,32.181,200,7,0.879351019859314,-1.4861934185028076,-0.8748721480369568,-1.8649227619171143,-0.46058526635169983,-1.4311871528625488,5.0109920406341555,4.995600700378418
108,32.481,200,7,0.879351019859314,-1.4861934185028076,-0.8748721480369568,-1.8649227619171143,0.44871455430984497,-1.5567805767059326,4.996117315292358,4.845913887023926
109,32.792,200,7,0.879351019859314,-1.4861934185028076,-0.8630229234695435,-1.8698375225067139,1.069328784942627,-2.112940549850464,5.015450572967529,4.980212211608887
110,33.092,200,7,0.879351019859314,-1.4861934185028076,-0.8630229234695435,-1.8698375225067139,-0.5021123290061951,-1.4276809692382812,5.007817220687866,5.079710006713867
111,33.405,200,7,0.879351019859314,-1.4861934185028076,-0.8476539850234985,-1.8707799911499023,0.29250842332839966,-1.6580065488815308,4.990547666549682,5.008376598358154
112,33.707,200,7,0.879351019859314,-1.4861934185028076,-0.8476539850234985,-1.8707799911499023,0.23117370903491974,-1.6702176332473755,4.972501745223999,5.175129413604736
113,34.023,200,7,1.3558048009872437,-1.4861934185028076,-0.8456202745437622,-1.8767889738082886,1.1636006832122803,-2.180027961730957,4.996575994491577,4.914408206939697
114,34.325,200,7,1.3558048009872437,-1.4861934185028076,-0.8456202745437622,-1.8767889738082886,1.459533452987671,-2.1327545642852783,5.006224746704102,4.962803840637207
115,34.636,200,7,1.3558048009872437,-1.4861934185028076,-0.856117844581604,-1.8848755359649658,0.818854570388794,-1.7633733749389648,5.017020902633667,5.031357765197754
116,34.942,200,7,1.3558048009872437,-1.4861934185028076,-0.856117844581604,-1.8848755359649658,0.8116248846054077,-1.731510043144226,5.005181674957275,5.009916305541992
117,35.253,200,7,1.3558048009872437,-1.4861934185028076,-0.8485650420188904,-1.8954929113388062,1.3788387775421143,-2.1176917552948,5.059073162078858,5.0409650802612305
118,35.557,200,7,1.3558048009872437,-1.4861934185028076,-0.8485650420188904,-1.8954929113388062,0.7244013547897339,-1.6580175161361694,5.042890939712525,5.046588897705078
119,35.93,200,7,1.3558048009872437,-1.4861934185028076,-0.8470055460929871,-1.8989754915237427,-0.5600581765174866,-1.4692013263702393,5.032420921325683,5.003783226013184
120,36.242,200,7,1.3558048009872437,-1.4861934185028076,-0.8470055460929871,-1.8989754915237427,-0.1836182028055191,-1.6311262845993042,5.081217985153199,5.031569480895996
121,36.555,200,7,1.3558048009872437,-1.4861934185028076,-0.8467283844947815,-1.9045301675796509,0.9273803234100342,-1.7099859714508057,5.078328056335449,5.12009334564209
122,36.859,200,7,1.3558048009872437,-1.4861934185028076,-0.8467283844947815,-1.9045301675796509,0.8828941583633423,-1.7610433101654053,5.049417419433594,5.069962978363037
123,37.17,200,7,1.3558048009872437,-1.4861934185028076,-0.8461554050445557,-1.9106234312057495,-0.4103345274925232,-1.6589701175689697,5.059301118850708,5.09431266784668
124,37.472,200,7,1.3558048009872437,-1.4861934185028076,-0.8461554050445557,-1.9106234312057495,-0.510496973991394,-1.4696122407913208,5.049832315444946,5.027919769287109
125,37.782,200,7,1.3558048009872437,-1.4861934185028076,-0.8494071960449219,-1.9183602333068848,0.6590752005577087,-1.822204828262329,5.080993146896362,4.993966102600098
126,38.085,200,7,1.3558048009872437,-1.4861934185028076,-0.8494071960449219,-1.9183602333068848,-0.5038274526596069,-1.4672445058822632,5.07721941947937,5.019137382507324
127,38.458,200,7,1.3558048009872437,-1.4861934185028076,-0.8364004492759705,-1.9208858013153076,-0.24218222498893738,-1.6488916873931885,5.066230926513672,4.920252799987793
128,38.837,200,7,1.3558048009872437,-1.4861934185028076,-0.8364004492759705,-1.9208858013153076,-0.38229814171791077,-1.3643360137939453,5.086919250488282,5.002096652984619
129,39.15,200,7,1.3558048009872437,-1.4861934185028076,-0.8383339643478394,-1.925804853439331,0.7292476296424866,-1.7875679731369019,5.057668800354004,4.866372108459473
130,39.453,200,7,1.3558048009872437,-1.4861934185028076,-0.8383339643478394,-1.925804853439331,-0.47733184695243835,-1.4845468997955322,5.079572105407715,4.934178352355957
131,39.765,200,7,1.3558048009872437,-1.4861934185028076,-0.8431847095489502,-1.928135871887207,-0.5099700093269348,-1.4726749658584595,5.1036312294006345,4.987417221069336
132,40.068,200,7,1.3558048009872437,-1.4861934185028076,-0.8431847095489502,-1.928135871887207,0.6578910946846008,-1.8192336559295654,5.085756692886353,5.169686317443848
133,40.379,200,7,1.3558048009872437,-1.4861934185028076,-0.8483039140701294,-1.9317442178726196,0.7989349365234375,-1.7669577598571777,5.081816930770874,5.24614143371582
134,40.682,200,7,1.3558048009872437,-1.4861934185028076,-0.8483039140701294,-1.9317442178726196,1.3981724977493286,-2.018779754638672,5.073649673461914,5.047806262969971
135,40.992,200,8,1.3558048009872437,-1.4861934185028076,-0.8491053581237793,-1.9389146566390991,0.8530358076095581,-1.7905542850494385,5.097418622970581,5.01154899597168
136,41.3,200,8,1.3558048009872437,-1.4861934185028076,-0.8491053581237793,-1.9389146566390991,1.476076602935791,-2.0398333072662354,5.068611068725586,5.026671409606934
137,41.612,200,9,1.3558048009872437,-1.4861934185028076,-0.8287256360054016,-1.941908597946167,-0.4321688711643219,-1.4805413484573364,5.102701349258423,5.139425277709961
138,41.916,200,9,1.3558048009872437,-1.4861934185028076,-0.8287256360054016,-1.941908597946167,-0.2614617943763733,-1.6326910257339478,5.121633291244507,5.243719100952148
